priceid,tarikh_harga,systemdate,negeri,daerah,lokasi,peringkat,sublevel,kategori,kumpulan,jenis,varieti,gred,unit,harga,average14,supply
30749100,2026-07-18,2026-07-18 00:43:05.280602,PAHANG,ROMPIN,LADANG/KEBUN KAMPUNG JAWA,Ladang,,Tanaman Kontan,05,001,KELAPA DIKUPAS,SEDANG,Biji,1.1,1.1,
30749101,2026-07-18,2026-07-18 00:43:05.280602,PAHANG,ROMPIN,LADANG/KEBUN KAMPUNG JAWA,Ladang,,Tanaman Kontan,05,001,KELAPA DIKUPAS,SEDANG,Biji,1.1,1.1,
30749102,2026-07-18,2026-07-18 00:44:06.078642,PAHANG,JERANTUT,TKPM ULU CHEKA,Ladang,,Buah-Buahan,02,023,NANAS JOSAPINE (AC5),F.A.Q,Kilogram,3,3,
30749103,2026-07-18,2026-07-18 00:44:06.078642,PAHANG,JERANTUT,TKPM ULU CHEKA,Ladang,,Buah-Buahan,02,023,NANAS JOSAPINE (AC5),F.A.Q,Kilogram,3,3,
30749104,2026-07-18,2026-07-18 00:44:06.078642,PAHANG,JERANTUT,TKPM ULU CHEKA,Ladang,,Buah-Buahan,02,028,PISANG BERANGAN,F.A.Q,Kilogram,2.6,2.7666667,
30749105,2026-07-18,2026-07-18 00:44:06.078642,PAHANG,JERANTUT,TKPM ULU CHEKA,Ladang,,Buah-Buahan,02,028,PISANG BERANGAN,F.A.Q,Kilogram,2.6,2.7666667,
30749106,2026-07-18,2026-07-18 00:44:06.078642,PAHANG,JERANTUT,TKPM ULU CHEKA,Ladang,,Buah-Buahan,02,028,PISANG MAS,F.A.Q,Kilogram,2.8,2.7833333,
30749107,2026-07-18,2026-07-18 00:44:06.078642,PAHANG,JERANTUT,TKPM ULU CHEKA,Ladang,,Buah-Buahan,02,028,PISANG MAS,F.A.Q,Kilogram,2.8,2.7833333,
30749108,2026-07-18,2026-07-18 00:44:55.661977,PAHANG,KUANTAN,LADANG/KEBUN GAMBANG,Ladang,,Buah-Buahan,02,005,BETIK SEKAKI,F.A.Q,Kilogram,1.5,1.5166667,
30749109,2026-07-18,2026-07-18 00:44:55.661977,PAHANG,KUANTAN,LADANG/KEBUN GAMBANG,Ladang,,Buah-Buahan,02,005,BETIK SEKAKI,F.A.Q,Kilogram,1.5,1.5166667,
30749110,2026-07-18,2026-07-18 00:44:55.661977,PAHANG,KUANTAN,LADANG/KEBUN GAMBANG,Ladang,,Buah-Buahan,02,034,TEMBIKAI MERAH TANPA BIJI,F.A.Q,Kilogram,1.3,1.3916667,
30749111,2026-07-18,2026-07-18 00:44:55.661977,PAHANG,KUANTAN,LADANG/KEBUN GAMBANG,Ladang,,Buah-Buahan,02,034,TEMBIKAI MERAH TANPA BIJI,F.A.Q,Kilogram,1.3,1.3916667,
30749112,2026-07-18,2026-07-18 00:47:27.049479,PAHANG,KUANTAN,LADANG TUNAS AGRO,Ladang,,Ternakan,11,001,TELUR AYAM,A,Biji,0.42,0.41666666,
30749113,2026-07-18,2026-07-18 00:47:27.049479,PAHANG,KUANTAN,LADANG TUNAS AGRO,Ladang,,Ternakan,11,001,TELUR AYAM,C,Biji,0.31,0.29833335,
30749114,2026-07-18,2026-07-18 00:47:27.049479,PAHANG,KUANTAN,LADANG TUNAS AGRO,Ladang,,Ternakan,11,001,TELUR AYAM,B,Biji,0.39,0.3725,
30749115,2026-07-18,2026-07-18 00:47:59.040738,PAHANG,KUANTAN,LADANG/KEBUN JABOR,Ladang,,Ternakan,01,003,AYAM HIDUP,F.A.Q,Kilogram,5.7,5.7,
30749116,2026-07-18,2026-07-18 00:49:04.121132,PAHANG,KUANTAN,PASAR BORONG KEMUNTING,Borong,20,Ternakan,02,003,DAGING LEMBU PEJAL,F.A.Q,Kilogram,35,35,
30749117,2026-07-18,2026-07-18 00:49:04.121132,PAHANG,KUANTAN,PASAR BORONG KEMUNTING,Borong,20,Ternakan,02,003,DAGING LEMBU PEJAL,F.A.Q,Kilogram,35,35,
30749118,2026-07-18,2026-07-18 00:49:04.121132,PAHANG,KUANTAN,PASAR BORONG KEMUNTING,Borong,20,Ternakan,02,003,DAGING LEMBU PEJAL,F.A.Q,Kilogram,35,35,
30749119,2026-07-18,2026-07-18 00:49:35.921262,PAHANG,KUANTAN,PASAR BORONG KEMUNTING,Borong,20,Tanaman Kontan,05,001,KELAPA DIKUPAS,SEDANG,Biji,2,2.0666666,
30749120,2026-07-18,2026-07-18 00:49:35.921262,PAHANG,KUANTAN,PASAR BORONG KEMUNTING,Borong,20,Tanaman Kontan,05,001,KELAPA DIKUPAS,SEDANG,Biji,2,2.0666666,
30749121,2026-07-18,2026-07-18 00:51:46.827578,PAHANG,KUANTAN,PASAR BORONG KEMUNTING,Borong,20,Buah-Buahan,02,005,BETIK SEKAKI,F.A.Q,Kilogram,3,3,
30749122,2026-07-18,2026-07-18 00:51:46.827578,PAHANG,KUANTAN,PASAR BORONG KEMUNTING,Borong,20,Buah-Buahan,02,005,BETIK SEKAKI,F.A.Q,Kilogram,3,3,
30749123,2026-07-18,2026-07-18 00:51:46.827578,PAHANG,KUANTAN,PASAR BORONG KEMUNTING,Borong,20,Buah-Buahan,02,023,NANAS JOSAPINE (AC5),F.A.Q,Kilogram,4.5,4.5,
30749124,2026-07-18,2026-07-18 00:51:46.827578,PAHANG,KUANTAN,PASAR BORONG KEMUNTING,Borong,20,Buah-Buahan,02,023,NANAS JOSAPINE (AC5),F.A.Q,Kilogram,4.5,4.5,
30749125,2026-07-18,2026-07-18 00:51:46.827578,PAHANG,KUANTAN,PASAR BORONG KEMUNTING,Borong,20,Buah-Buahan,02,028,PISANG BERANGAN,F.A.Q,Kilogram,4.6,4.625,
30749126,2026-07-18,2026-07-18 00:51:46.827578,PAHANG,KUANTAN,PASAR BORONG KEMUNTING,Borong,20,Buah-Buahan,02,028,PISANG BERANGAN,F.A.Q,Kilogram,4.6,4.625,
30749127,2026-07-18,2026-07-18 00:51:46.827578,PAHANG,KUANTAN,PASAR BORONG KEMUNTING,Borong,20,Buah-Buahan,02,028,PISANG MAS,F.A.Q,Kilogram,4.8,4.6666665,
30749128,2026-07-18,2026-07-18 00:51:46.827578,PAHANG,KUANTAN,PASAR BORONG KEMUNTING,Borong,20,Buah-Buahan,02,028,PISANG MAS,F.A.Q,Kilogram,4.8,4.6666665,
30749129,2026-07-18,2026-07-18 00:51:46.827578,PAHANG,KUANTAN,PASAR BORONG KEMUNTING,Borong,20,Buah-Buahan,02,034,TEMBIKAI MERAH TANPA BIJI,F.A.Q,Kilogram,2.3,2.4,
30749130,2026-07-18,2026-07-18 00:51:46.827578,PAHANG,KUANTAN,PASAR BORONG KEMUNTING,Borong,20,Buah-Buahan,02,034,TEMBIKAI MERAH TANPA BIJI,F.A.Q,Kilogram,2.3,2.4,
30749131,2026-07-18,2026-07-18 00:52:34.858782,PAHANG,KUANTAN,PASAR BORONG KEMUNTING,Borong,20,Ternakan,11,001,TELUR AYAM,A,Biji,0.44,0.43666667,
30749132,2026-07-18,2026-07-18 00:52:34.858782,PAHANG,KUANTAN,PASAR BORONG KEMUNTING,Borong,20,Ternakan,11,001,TELUR AYAM,B,Biji,0.41,0.3925,
30749133,2026-07-18,2026-07-18 00:52:34.858782,PAHANG,KUANTAN,PASAR BORONG KEMUNTING,Borong,20,Ternakan,11,001,TELUR AYAM,C,Biji,0.33,0.31833333,
30749134,2026-07-18,2026-07-18 00:53:18.359301,PAHANG,KUANTAN,PASAR BORONG KEMUNTING,Borong,20,Ternakan,03,002,AYAM PROSES STANDARD,F.A.Q,Kilogram,9.7,9.7,
30749135,2026-07-18,2026-07-18 00:53:18.359301,PAHANG,KUANTAN,PASAR BORONG KEMUNTING,Borong,20,Ternakan,03,002,AYAM PROSES STANDARD,F.A.Q,Kilogram,9.7,9.7,
30749136,2026-07-18,2026-07-18 00:53:18.359301,PAHANG,KUANTAN,PASAR BORONG KEMUNTING,Borong,20,Ternakan,03,002,AYAM PROSES STANDARD,F.A.Q,Kilogram,9.7,9.7,
30749137,2026-07-18,2026-07-18 00:55:06.754544,PAHANG,KUANTAN,PASAR BORONG KEMUNTING,Borong,20,Sayur-Sayuran,05,001,BAWANG BESAR KUNING / HOLLAND,F.A.Q,Kilogram,2,2,
30749138,2026-07-18,2026-07-18 00:55:06.754544,PAHANG,KUANTAN,PASAR BORONG KEMUNTING,Borong,20,Sayur-Sayuran,05,001,BAWANG BESAR KUNING / HOLLAND,F.A.Q,Kilogram,2,2,
30749139,2026-07-18,2026-07-18 00:55:06.754544,PAHANG,KUANTAN,PASAR BORONG KEMUNTING,Borong,20,Sayur-Sayuran,05,001,BAWANG BESAR MERAH (INDIA),F.A.Q,Kilogram,2,2,
30749140,2026-07-18,2026-07-18 00:55:06.754544,PAHANG,KUANTAN,PASAR BORONG KEMUNTING,Borong,20,Sayur-Sayuran,05,001,BAWANG BESAR MERAH (INDIA),F.A.Q,Kilogram,2,2,
30749141,2026-07-18,2026-07-18 00:55:06.754544,PAHANG,KUANTAN,PASAR BORONG KEMUNTING,Borong,20,Sayur-Sayuran,05,001,BAWANG MERAH / KECIL (INDIA),F.A.Q,Kilogram,2,2,
30749142,2026-07-18,2026-07-18 00:55:06.754544,PAHANG,KUANTAN,PASAR BORONG KEMUNTING,Borong,20,Sayur-Sayuran,05,001,BAWANG MERAH / KECIL (INDIA),F.A.Q,Kilogram,2,2,
30749143,2026-07-18,2026-07-18 00:55:06.754544,PAHANG,KUANTAN,PASAR BORONG KEMUNTING,Borong,20,Sayur-Sayuran,05,001,BAWANG MERAH ROSE,F.A.Q,Kilogram,4,4,
30749144,2026-07-18,2026-07-18 00:55:06.754544,PAHANG,KUANTAN,PASAR BORONG KEMUNTING,Borong,20,Sayur-Sayuran,05,001,BAWANG MERAH ROSE,F.A.Q,Kilogram,4,4,
30749145,2026-07-18,2026-07-18 00:55:06.754544,PAHANG,KUANTAN,PASAR BORONG KEMUNTING,Borong,20,Sayur-Sayuran,05,001,BAWANG PUTIH (CHINA),F.A.Q,Kilogram,7,7,
30749146,2026-07-18,2026-07-18 00:55:06.754544,PAHANG,KUANTAN,PASAR BORONG KEMUNTING,Borong,20,Sayur-Sayuran,05,001,BAWANG PUTIH (CHINA),F.A.Q,Kilogram,7,7,
30749147,2026-07-18,2026-07-18 00:55:06.754544,PAHANG,KUANTAN,PASAR BORONG KEMUNTING,Borong,20,Sayur-Sayuran,05,009,UBI KENTANG HOLLAND,F.A.Q,Kilogram,2,2,
30749148,2026-07-18,2026-07-18 00:55:06.754544,PAHANG,KUANTAN,PASAR BORONG KEMUNTING,Borong,20,Sayur-Sayuran,05,009,UBI KENTANG HOLLAND,F.A.Q,Kilogram,2,2,
30749149,2026-07-18,2026-07-18 00:55:59.761744,PAHANG,KUANTAN,PASAR BESAR KUANTAN,Runcit,26,Ternakan,11,001,TELUR AYAM,A,Biji,0.46,0.45666668,
30749150,2026-07-18,2026-07-18 00:55:59.761744,PAHANG,KUANTAN,PASAR BESAR KUANTAN,Runcit,26,Ternakan,11,001,TELUR AYAM,B,Biji,0.43,0.4125,
30749151,2026-07-18,2026-07-18 00:55:59.761744,PAHANG,KUANTAN,PASAR BESAR KUANTAN,Runcit,26,Ternakan,11,001,TELUR AYAM,C,Biji,0.35,0.33833334,
30749152,2026-07-18,2026-07-18 00:56:46.422096,PAHANG,KUANTAN,PASAR BESAR KUANTAN,Runcit,26,Ternakan,02,003,DAGING LEMBU PEJAL,F.A.Q,Kilogram,38,38,
