priceid,tarikh_harga,systemdate,negeri,daerah,lokasi,peringkat,sublevel,kategori,kumpulan,jenis,varieti,gred,unit,harga,average14,supply
30921229,2026-09-05,2026-09-05 05:27:26.990059,PULAU PINANG,SEBERANG PERAI TENGAH,PASAR BORONG BUKIT MERTAJAM,Borong,20,Ternakan,02,003,DAGING LEMBU PEJAL,F.A.Q,Kilogram,30,30.46,
30921230,2026-09-05,2026-09-05 05:27:26.990059,PULAU PINANG,SEBERANG PERAI TENGAH,PASAR BORONG BUKIT MERTAJAM,Borong,20,Ternakan,02,003,DAGING LEMBU PEJAL,F.A.Q,Kilogram,27,30.46,
30921231,2026-09-05,2026-09-05 05:31:03.417198,PULAU PINANG,SEBERANG PERAI TENGAH,PASAR BORONG BUKIT MERTAJAM,Borong,20,Sayur-Sayuran,03,001,BAYAM,F.A.Q,Kilogram,1.8,4.11,
30921232,2026-09-05,2026-09-05 05:31:03.417198,PULAU PINANG,SEBERANG PERAI TENGAH,PASAR BORONG BUKIT MERTAJAM,Borong,20,Sayur-Sayuran,02,002,CILI HIJAU,F.A.Q,Kilogram,10,10.63,
30921233,2026-09-05,2026-09-05 05:31:03.417198,PULAU PINANG,SEBERANG PERAI TENGAH,PASAR BORONG BUKIT MERTAJAM,Borong,20,Sayur-Sayuran,02,002,CILI HIJAU,F.A.Q,Kilogram,7,10.63,
30921236,2026-09-05,2026-09-05 05:31:03.417198,PULAU PINANG,SEBERANG PERAI TENGAH,PASAR BORONG BUKIT MERTAJAM,Borong,20,Sayur-Sayuran,02,002,CILI MERAH MINYAK,F.A.Q,Kilogram,10,11.76,
30921237,2026-09-05,2026-09-05 05:31:03.417198,PULAU PINANG,SEBERANG PERAI TENGAH,PASAR BORONG BUKIT MERTAJAM,Borong,20,Sayur-Sayuran,02,002,CILI MERAH MINYAK,F.A.Q,Kilogram,7,11.76,
30921238,2026-09-05,2026-09-05 05:31:03.417198,PULAU PINANG,SEBERANG PERAI TENGAH,PASAR BORONG BUKIT MERTAJAM,Borong,20,Sayur-Sayuran,03,009,DAUN BAWANG,F.A.Q,Kilogram,3,9.7,
30921239,2026-09-05,2026-09-05 05:31:03.417198,PULAU PINANG,SEBERANG PERAI TENGAH,PASAR BORONG BUKIT MERTAJAM,Borong,20,Sayur-Sayuran,03,015,DAUN SUP (TANAH TINGGI),F.A.Q,Kilogram,8.6,10.25,
30921240,2026-09-05,2026-09-05 05:31:03.417198,PULAU PINANG,SEBERANG PERAI TENGAH,PASAR BORONG BUKIT MERTAJAM,Borong,20,Sayur-Sayuran,04,002,KACANG BENDI,F.A.Q,Kilogram,4.5,8.23,
30921241,2026-09-05,2026-09-05 05:31:03.417198,PULAU PINANG,SEBERANG PERAI TENGAH,PASAR BORONG BUKIT MERTAJAM,Borong,20,Sayur-Sayuran,04,003,KACANG BUNCIS,F.A.Q,Kilogram,5,10.25,
30921242,2026-09-05,2026-09-05 05:31:03.417198,PULAU PINANG,SEBERANG PERAI TENGAH,PASAR BORONG BUKIT MERTAJAM,Borong,20,Sayur-Sayuran,04,003,KACANG BUNCIS,F.A.Q,Kilogram,3,10.25,
30921243,2026-09-05,2026-09-05 05:31:03.417198,PULAU PINANG,SEBERANG PERAI TENGAH,PASAR BORONG BUKIT MERTAJAM,Borong,20,Sayur-Sayuran,04,007,KACANG PANJANG HIJAU,F.A.Q,Kilogram,2.8,5.88,
30921244,2026-09-05,2026-09-05 05:31:03.417198,PULAU PINANG,SEBERANG PERAI TENGAH,PASAR BORONG BUKIT MERTAJAM,Borong,20,Sayur-Sayuran,03,019,KANGKUNG,F.A.Q,Kilogram,1.8,3.5,
30921245,2026-09-05,2026-09-05 05:31:03.417198,PULAU PINANG,SEBERANG PERAI TENGAH,PASAR BORONG BUKIT MERTAJAM,Borong,20,Sayur-Sayuran,03,006,KUBIS BULAT (CHINA),F.A.Q,Kilogram,1.5,2.09,
30921246,2026-09-05,2026-09-05 05:31:03.417198,PULAU PINANG,SEBERANG PERAI TENGAH,PASAR BORONG BUKIT MERTAJAM,Borong,20,Sayur-Sayuran,03,006,KUBIS BULAT (INDONESIA),F.A.Q,Kilogram,1.6,1.77,
30921247,2026-09-05,2026-09-05 05:31:03.417198,PULAU PINANG,SEBERANG PERAI TENGAH,PASAR BORONG BUKIT MERTAJAM,Borong,20,Sayur-Sayuran,03,006,KUBIS BULAT (TANAH TINGGI),F.A.Q,Kilogram,2.6,3.18,
